Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,Average Cost,Average Faculty Salary,% Undergrads with Pell Grant,Completion Rate,% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Average Age of Entry,Median Family Income,Poverty Rate,Median Earnings 8 years After Entry
Abilene Christian University,Private,Southwest,Mid-size City,0.4894,24,1087,3647,0.7069,0.076,0.1206,0.0099,0.0036,39811,5508,0.2347,0.5637,0.0381,7.5,20698.5,20.22999954,75873.5,7.800000191,37200
Adams State University,Public,Rocky Mountains,Remote Town,0.526,20,939,2227,0.5123,0.0768,0.3026,0.0112,0.0153,17759,5986,0.5029,0.227,0.2106,9.3,11000,24.12999916,34243,11.84000015,30700
Adelphi University,Private,Mid-Atlantic,Large Suburb,0.6814,22,1098,5000,0.5296,0.1062,0.1336,0.0756,0.0016,41559,11315,0.2951,0.6251,0.1562,3.7,21325,23.12999916,54115,7.46999979,49400
Adrian College,Private,Great Lakes,Distant Town,0.5628,22,1007,1616,0.7605,0.1002,0.0217,0.0056,0.0037,40199,7453,0.4368,0.5445,0.023,7.7,14250,19.62999916,71008.5,5.710000038,33800
Adventist University of Health Sciences,Private,Southeast,Mid-size City,0.1336,19,884,2064,0.4748,0.1434,0.2016,0.0562,0.0039,21358,6539,0.3595,0.3953,0.6056,5.4,15236,28.70999908,49657.5,8.300000191,51800
AIB College of Business,Private,Great Plains,Mid-size City,0.6887,,,1007,0.6306,0.0497,0.0586,0.0189,0.006,22469,4706,0.3635,0.6054,0.3209,7.9,13125,22.76000023,53783,5.639999866,34200
Alabama A & M University,Public,Southeast,Mid-size City,0.8989,17,823,4051,0.0279,0.9501,0.0089,0.0022,0.0012,18888,7079,0.7115,0.2914,0.1049,16.3,19500,20.62999916,29039,14.88000011,27000
Alabama State University,Public,Southeast,Mid-size City,0.5125,17,830,5354,0.0161,0.9285,0.0114,0.0015,0.0009,17400,6557,0.8265,0.2517,0.127,19.1,15854.5,20.88999939,24029.5,16.95999908,22400
Albany College of Pharmacy and Health Sciences,Private,Mid-Atlantic,Small City,0.634,27,1195,1075,0.6633,0.0381,0.0484,0.1284,0.0028,40718,8530,0.2215,0.7235,0.1039,1,24930.5,21.05999947,80225,7.650000095,125600
Albany State University,Public,Southeast,Small City,0.1992,19,887,3566,0.0443,0.91,0.0095,0.0017,0.0014,19025,5607,0.7229,0.4249,0.2396,18,24500,22.45999908,29794,14.09000015,27900
Albertus Magnus College,Private,New England,Mid-size City,0.6821,,830,1278,0.4476,0.277,0.1354,0.0141,0.0023,41520,7601,0.5811,0.6063,0.5133,7,26313,29.63999939,50062.5,9.180000305,48900
Albion College,Private,Great Lakes,Fringe Town,0.5639,25,1143,1284,0.8178,0.0343,0.0335,0.0156,0.0031,45690,6969,0.2366,0.736,0.013,5.3,22500,19.20999908,85027.5,5.510000229,40800
Albright College,Private,Mid-Atlantic,Small City,0.6231,23,1033,2333,0.6215,0.1582,0.0883,0.0257,0.006,46170,6340,0.4075,0.5371,0.2452,6.7,24562.5,23.62999916,66577.5,6.139999866,41700
Alcorn State University,Public,Southeast,Remote Rural,0.8291,18,851,3157,0.0326,0.9328,0.006,0.0016,0.0003,20330,6431,0.7918,0.3463,0.254,15.8,19696.5,22.82999992,21250,22.07999992,26200
Alderson Broaddus University,Private,Southeast,Distant Town,0.4321,22,989,1032,0.7403,0.1609,0.0397,0.0116,0.0068,33057,4924,0.4818,0.4575,0.0722,9.9,9500,21.69000053,48013,13.40999985,43500
Alfred University,Private,Mid-Atlantic,Remote Town,0.698,25,1106,1905,0.6751,0.0819,0.0688,0.0163,0.001,38830,6408,0.3804,0.6216,0.0311,6.9,21500,19.87999916,69334,7.409999847,35400
Allegheny College,Private,Mid-Atlantic,Distant Town,0.6487,26,1182,2126,0.802,0.0437,0.0616,0.0254,0.0005,50044,8108,0.2621,0.7917,0.0088,2.6,27000,19.40999985,85933,6.050000191,42200
Alma College,Private,Great Lakes,Distant Town,0.6791,25,1100,1385,0.8657,0.0217,0.0303,0.0166,0.0087,43157,7256,0.306,0.6118,0.0113,7.8,21500,19.51000023,74312,6.119999886,38000
Alvernia University,Private,Mid-Atlantic,Small City,0.7762,20,976,2169,0.7045,0.1415,0.0742,0.0143,0.0005,39999,6152,0.346,0.5132,0.3235,6.9,22500,25.30999947,53135,8.489999771,40400
Alverno College,Private,Great Lakes,Large City,0.7887,20,950,1833,0.5428,0.1768,0.1811,0.0475,0.012,30496,5550,0.6102,0.3852,0.3464,8.3,25500,24.29000092,38705,10.02000046,34500
American International College,Private,New England,Mid-size City,0.6779,19,885,1513,0.4382,0.2538,0.0826,0.0152,0.004,40803,5700,0.5027,0.4487,0.2102,6,20726,22.63999939,49259,10.44999981,36100
American University,Private,Mid-Atlantic,Large City,0.4312,28,1258,6829,0.5671,0.064,0.1012,0.0638,0.0018,55159,11074,0.1565,0.7989,0.0252,3.3,19500,20.04999924,86431,5.340000153,51600
Amherst College,Private,New England,Large Suburb,0.1428,32,1434,1785,0.4174,0.1165,0.1283,0.1255,0.0011,59060,11690,0.1998,0.9578,0.0123,4.5,10453,19.32999992,85922,6.96999979,54000
Anderson University (Great Lakes),Private,Great Lakes,Small City,0.5545,23,1053,1862,0.811,0.0575,0.0269,0.007,0.0032,37937,6395,0.3358,0.5678,0.1215,4.3,23000,21.51000023,72723,5.400000095,33400
Anderson University (Southeast),Private,Southeast,Small City,0.6502,24,1079,2381,0.8202,0.0962,0.0328,0.0101,0.0067,35340,6409,0.3422,0.4138,0.1802,9.6,19500,22.20000076,58707.5,8.300000191,32600
Andrews University,Private,Great Lakes,Fringe Town,0.3751,23,1070,1765,0.2856,0.2232,0.1337,0.1258,0.0028,33653,4961,0.3155,0.6036,0.116,7.6,23000,21.67000008,53737,7.929999828,33400
Angelo State University,Public,Southwest,Small City,0.8049,21,965,5430,0.5451,0.0818,0.305,0.0101,0.0048,19511,6867,0.4264,0.2975,0.1407,13.4,11773,21.37999916,43559,11.36999989,34500
Anna Maria College,Private,New England,Fringe Rural,0.7756,,,1135,0.7198,0.0784,0.067,0.0106,0.0035,42770,3553,0.3655,0.469,0.2948,10,18125,21.17000008,67437,6.579999924,36000
Appalachian State University,Public,Southeast,Distant Town,0.6323,26,1156,15840,0.8612,0.0306,0.0419,0.0136,0.0025,17780,7657,0.259,0.6857,0.0734,4.8,15635,20.68000031,69100,6.860000134,33600
Aquinas College,Private,Great Lakes,Mid-size City,0.7135,24,1090,1843,0.8486,0.032,0.0521,0.0081,0.0049,34593,5972,0.3356,0.5976,0.1106,9.2,19474,21.71999931,72085,6.289999962,31200
Arcadia University,Private,Mid-Atlantic,Large Suburb,0.5969,25,1095,2400,0.7338,0.0846,0.0558,0.0463,0.0025,48907,7962,0.337,0.605,0.0775,4.9,22000,20.35000038,76319,5.78000021,38100
Arizona State University-Downtown Phoenix,Public,Southwest,Large City,0.757,24,1085,8555,0.5476,0.06,0.2701,0.0456,0.0243,22909,8746,0.4245,0.4732,0.1986,8.5,16250,,,,
Arizona State University-Polytechnic,Public,Southwest,Large City,0.7479,24,1106,3305,0.6054,0.0375,0.1894,0.052,0.0194,21256,8042,0.4074,0.5505,0.33,8.5,16250,22.55999947,43477,7.710000038,
Arizona State University-Tempe,Public,Southwest,Mid-size City,0.8023,25,1145,38480,0.5755,0.0398,0.1853,0.0677,0.0136,21960,10405,0.3376,0.5947,0.1414,8.5,16250,22.55999947,43477,7.710000038,41200
